Date,Time,Process,PowerShellCommand_Start,PowerShellCommand_Kill
2024-04-15,15:50:31.248024,LockApp.exe,Start-Process -FilePath 'LockApp.exe' -NoNewWindow -PassThru,Stop-Process -Id 26444 -Force
2024-04-15,15:50:31.248024,RuntimeBroker.exe,Start-Process -FilePath 'RuntimeBroker.exe' -NoNewWindow -PassThru,Stop-Process -Id 14688 -Force
2024-04-15,15:50:31.248024,dllhost.exe,Start-Process -FilePath 'dllhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 10432 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 2000 -Force
2024-04-15,15:49:30.203196,warp-svc.exe,Start-Process -FilePath 'warp-svc.exe' -NoNewWindow -PassThru,Stop-Process -Id 5836 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 5100 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 12704 -Force
2024-04-15,15:50:31.248024,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 5884 -Force
2024-04-15,15:49:30.203196,SnippingTool.exe,Start-Process -FilePath 'SnippingTool.exe' -NoNewWindow -PassThru,Stop-Process -Id 10516 -Force
2024-04-15,15:50:31.248024,OneApp.IGCC.WinService.exe,Start-Process -FilePath 'OneApp.IGCC.WinService.exe' -NoNewWindow -PassThru,Stop-Process -Id 5124 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 5100 -Force
2024-04-15,15:50:31.248024,RuntimeBroker.exe,Start-Process -FilePath 'RuntimeBroker.exe' -NoNewWindow -PassThru,Stop-Process -Id 8640 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 4968 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4696 -Force
2024-04-15,15:50:31.248024,dptf_helper.exe,Start-Process -FilePath 'dptf_helper.exe' -NoNewWindow -PassThru,Stop-Process -Id 8156 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 2844 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 8268 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3096 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4696 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 8928 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 8268 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 5256 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 8444 -Force
2024-04-15,15:49:30.203196,winlogon.exe,Start-Process -FilePath 'winlogon.exe' -NoNewWindow -PassThru,Stop-Process -Id 1604 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 9816 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 8928 -Force
2024-04-15,15:49:30.203196,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 23680 -Force
2024-04-15,15:49:30.203196,msedgewebview2.exe,Start-Process -FilePath 'msedgewebview2.exe' -NoNewWindow -PassThru,Stop-Process -Id 17012 -Force
2024-04-15,15:49:30.203196,conhost.exe,Start-Process -FilePath 'conhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 7032 -Force
2024-04-15,15:50:31.248024,smartscreen.exe,Start-Process -FilePath 'smartscreen.exe' -NoNewWindow -PassThru,Stop-Process -Id 9036 -Force
2024-04-15,15:50:31.248024,UserOOBEBroker.exe,Start-Process -FilePath 'UserOOBEBroker.exe' -NoNewWindow -PassThru,Stop-Process -Id 17528 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4264 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 5084 -Force
2024-04-15,15:49:30.203196,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 16280 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 9816 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 21324 -Force
2024-04-15,15:49:30.203196,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 19032 -Force
2024-04-15,15:49:30.203196,StartMenuExperienceHost.exe,Start-Process -FilePath 'StartMenuExperienceHost.exe' -NoNewWindow -PassThru,Stop-Process -Id 10012 -Force
